parameter,ecosystem_depth,mean,median,sd,upper_CI,lower_CI,Ecosystem,depth
within estuary,1,34.374689289326334,33.867281954778164,16.336461016459406,51.978992651001064,16.590320022471666,Emergent marsh,0-30 cm
within estuary,10,50.115907889462456,50.69496952512864,11.12640372244348,61.088691576477764,39.39965028028646,Seagrass,0-30 cm
within estuary,11,38.485701895130525,41.264174674199225,17.782411655597173,55.91361491182488,18.11035763856015,Seagrass,0-50 cm
within estuary,12,21.67073556804144,20.02722653905462,10.934034092256107,32.375380796655655,11.043450189736228,Seagrass,0-100 cm
within estuary,13,22.0133523485746,18.934700914570776,15.354468856440144,37.175626282025476,7.064771217150759,Tidal swamp,0-30 cm
within estuary,14,20.40816259096958,17.771506254832417,14.841519076441589,34.80301124296798,5.655140426365591,Tidal swamp,0-50 cm
within estuary,15,74.50247059103683,93.50755240753497,32.795552748188975,99.90725337259144,28.00367432096437,Tidal swamp,0-100 cm
within estuary,2,27.190875270447183,25.72088623653898,14.378214236876302,42.79984990212009,11.952821081333424,Emergent marsh,0-50 cm
within estuary,3,51.39361237118479,56.0560756510302,19.071986897540878,69.68924550456903,28.710846177425058,Emergent marsh,0-100 cm
within estuary,4,47.91611742402194,50.77351857837914,24.34200742150111,73.41626378869282,18.653063054399215,Tidal flat,0-30 cm
within estuary,5,62.58260749679384,68.00068956616576,28.71604249304208,93.60630682328656,28.026938297774706,Tidal flat,0-50 cm
within estuary,6,59.0595191495011,63.775103192370416,33.97598699687917,98.62759317455537,15.599576164542249,Tidal flat,0-100 cm
within estuary,7,48.879639001272025,49.11096302712734,12.512404457918175,61.598779656394406,36.01406065636084,Mangrove,0-30 cm
within estuary,8,61.8940242337696,62.94138550739453,14.404054939465741,76.15113202465577,47.83495874264904,Mangrove,0-50 cm
within estuary,9,88.96092710519164,98.82620531202059,18.540046545035946,99.98265340586121,71.49699057490083,Mangrove,0-100 cm
estuary,1,12.906999928560534,11.806165789277813,7.514579521443472,20.14671303338833,5.491874666992436,Emergent marsh,0-30 cm
estuary,10,45.25541203547161,45.4869664861036,11.084629261411477,56.23241239245166,34.6113201774962,Seagrass,0-30 cm
estuary,11,38.05554744840224,40.26323480781549,19.292517088442427,57.386917083237606,15.106984087468476,Seagrass,0-50 cm
estuary,12,62.843543057488105,69.33749639313507,22.60186473590754,84.30904383934408,36.184023617877344,Seagrass,0-100 cm
estuary,13,16.195450818845902,5.865814542452851,22.72157998769677,37.360231044434975,0.1315038061730632,Tidal swamp,0-30 cm
estuary,14,24.172436821819225,12.269223065432412,26.55491157529151,59.89479902840055,1.1612552312339648,Tidal swamp,0-50 cm
estuary,15,1.0627723057290346,0.00599039100401625,3.6475857541348593,1.0316825743463454,6.907358876423234e-5,Tidal swamp,0-100 cm
estuary,2,12.454713173807324,10.948527514650266,7.876015950385528,20.121508106015902,4.9094932447907045,Emergent marsh,0-50 cm
estuary,3,23.406911091691722,23.03535794231412,12.84262774598392,36.80736936407133,9.061750167128462,Emergent marsh,0-100 cm
estuary,4,11.861375202161692,4.620620540823568,14.70110810751903,28.25672671046832,0.0019932148259388044,Tidal flat,0-30 cm
estuary,5,5.047103676868214,0.035391885135677884,11.117439101811932,10.771795739211957,2.59506880271933e-4,Tidal flat,0-50 cm
estuary,6,2.1094816820725826,0.004306485718907668,7.565607811489318,1.3222028750802968,2.7533827050900244e-5,Tidal flat,0-100 cm
estuary,7,48.69848463129561,48.54355619504145,12.764636076911144,61.820164041878016,35.78084039918973,Mangrove,0-30 cm
estuary,8,33.628504274362136,33.25362339893878,14.432454865980086,48.073281390695264,19.32296048430285,Mangrove,0-50 cm
estuary,9,8.032194342071298,0.01991499098610477,16.901082307263557,20.646573622021503,8.462829464386888e-5,Mangrove,0-100 cm
