SampID,Study ID,Ecosystem,State,Estuary,EstType,Lat,Long,LatLongType,Lvl1EcoRegCode,Lvl1EcoReg,Lvl2EcoReg,KGzone,Cdepth,SfcCDMeth,SfcCDDepth,SfcCD,RhizCDMeth,RhizCDDepth,RhizCD,StkMeth,Stk30,Stk50,Stk100,PercGrav,PercSand,PercSilt,PercClay,PercFines,GrainType,z,zlow,zhigh,VegGrp
1,13,EM,CA,SUI,TDE,38.2031,-122.027,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.048,CHN,15-20,0.038,CHN,130.16,NA,NA,NA,NA,NA,NA,NA,NA,1.036,NA,1.036,Br-grm
3,13,EM,CA,SUI,TDE,38.2023,-122.0274,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.049,CHN,15-20,0.037,CHN,123.5,NA,NA,NA,NA,NA,NA,NA,NA,1.027,NA,1.027,Br-grm
4,13,EM,CA,SUI,TDE,38.2021,-122.0281,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.043,CHN,15-20,0.04,CHN,119.18,NA,NA,NA,NA,NA,NA,NA,NA,1.025,NA,1.025,Br-mix
5,13,EM,CA,SUI,TDE,38.2023,-122.0285,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.047,CHN,15-20,0.043,CHN,137.71,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,1.08,Br-grm
6,13,EM,CA,SUI,TDE,38.2016,-122.0284,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.041,CHN,15-20,0.04,CHN,121.89,NA,NA,NA,NA,NA,NA,NA,NA,1.051,NA,1.051,Br-grm
8,13,EM,CA,SUI,TDE,38.2035,-122.0274,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.042,CHN,15-20,0.032,CHN,110.08,NA,NA,NA,NA,NA,NA,NA,NA,1.065,NA,1.065,Br-grm
9,13,EM,CA,SUI,TDE,38.1996,-122.0278,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.019,CHN,15-20,0.028,CHN,70.44,NA,NA,NA,NA,NA,NA,NA,NA,1.084,NA,1.084,Br-grm
10,13,EM,CA,SUI,TDE,38.2,-122.0276,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.022,CHN,15-20,0.04,CHN,93.46,NA,NA,NA,NA,NA,NA,NA,NA,1.153,NA,1.153,Br-grm
11,13,EM,CA,SUI,TDE,38.2007,-122.0285,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.035,CHN,15-20,0.041,CHN,112.59,NA,NA,NA,NA,NA,NA,NA,NA,1.013,NA,1.013,Br-mix
12,13,EM,CA,SUI,TDE,38.2004,-122.0293,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.044,CHN,15-20,0.054,CHN,145.32,NA,NA,NA,NA,NA,NA,NA,NA,0.992,NA,0.992,Br-mix
13,13,EM,CA,SUI,TDE,38.1996,-122.0304,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.042,CHN,15-20,0.045,CHN,138.83,NA,NA,NA,NA,NA,NA,NA,NA,1.073,NA,1.073,Br-mix
14,13,EM,CA,SUI,TDE,38.1988,-122.0317,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.042,CHN,15-20,0.034,CHN,122.1,NA,NA,NA,NA,NA,NA,NA,NA,1.056,NA,1.056,Br-mix
15,13,EM,CA,SUI,TDE,38.1986,-122.0309,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.02,CHN,15-20,0.033,CHN,83.88,NA,NA,NA,NA,NA,NA,NA,NA,1.468,NA,1.468,Br-grm
16,13,EM,CA,SUI,TDE,38.1988,-122.0321,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.042,CHN,15-20,0.04,CHN,129.01,NA,NA,NA,NA,NA,NA,NA,NA,0.985,NA,0.985,Br-grm
17,13,EM,CA,SUI,TDE,38.1992,-122.0325,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.043,CHN,15-20,0.015,CHN,78.39,NA,NA,NA,NA,NA,NA,NA,NA,0.303,NA,0.303,Br-grm
18,13,EM,CA,SUI,TDE,38.1996,-122.0315,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.024,CHN,15-20,0.021,CHN,69.7,NA,NA,NA,NA,NA,NA,NA,NA,1.161,NA,1.161,Br-grm
19,13,EM,CA,SUI,TDE,38.2009,-122.0304,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.041,CHN,15-20,0.047,CHN,137.96,NA,NA,NA,NA,NA,NA,NA,NA,1.093,NA,1.093,Br-grm
20,13,EM,CA,SUI,TDE,38.2043,-122.0249,SPEC,Med,11,11.1,Csa,20,CHN,0-10,0.01,CHN,15-20,0.018,CHN,44,NA,NA,NA,NA,NA,NA,NA,NA,0.971,NA,0.971,Br-grm
21,4,SG,BC,KOM,TDE,49.66555,-124.91283,SPEC,PNW-For,7,7.1,Csb,45,CHN,0-10,0.009,CHN,20-30,0.009,CHN,22.57,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
22,4,FL,BC,KOM,TDE,49.66605,-124.91022,SPEC,PNW-For,7,7.1,Csb,52.5,CHN,0-10,0.004,CHN,20-30,0.004,CHN,11.06,26.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL
23,4,SG,BC,KOM,TDE,49.67005,-124.93853,SPEC,PNW-For,7,7.1,Csb,58.5,CHN,0-10,0.007,CHN,20-30,0.006,CHN,22.03,28.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
24,4,SG,BC,KOM,TDE,49.65835,-124.95398,SPEC,PNW-For,7,7.1,Csb,50,CHN,0-10,0.006,CHN,20-30,0.005,CHN,17.37,39.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
25,4,SG,BC,KOM,TDE,49.66023,-124.9439,SPEC,PNW-For,7,7.1,Csb,55,CHN,0-10,0.004,CHN,20-30,0.004,CHN,12.31,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
26,4,FL,BC,KOM,TDE,49.6668,-124.93478,SPEC,PNW-For,7,7.1,Csb,45,CHN,0-10,0.008,CHN,20-30,0.004,CHN,15.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL
27,4,SG,BC,KOM,TDE,49.65865,-124.9423,SPEC,PNW-For,7,7.1,Csb,45,CHN,0-10,0.007,CHN,20-30,0.009,CHN,22.04,46.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
28,4,SG,BC,KOM,TDE,49.66513,-124.91967,SPEC,PNW-For,7,7.1,Csb,50,CHN,0-10,0.007,CHN,20-30,0.006,CHN,21.2,25.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
29,4,SG,BC,KOM,TDE,49.65162,-124.93242,SPEC,PNW-For,7,7.1,Csb,55,CHN,0-10,0.013,CHN,20-30,0.025,CHN,56.85,87.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZosMar
30,11,FL,WA,PAD,EMB,48.549,-122.501,SPEC,PNW-For,7,7.1,Csb,44,CHN,0-10,0.009,LOI,20-30,0.012,CHN&LOI,34.71,54.1,NA,NA,NA,NA,NA,NA,NA,-0.829,0.453,NA,FL
31,11,SG,WA,PAD,EMB,48.549,-122.509,SPEC,PNW-For,7,7.1,Csb,36,CHN,0-10,0.005,LOI,20-30,0.005,CHN&LOI,13.96,21.77,NA,NA,NA,NA,NA,NA,NA,-1.151,0.24,NA,ZosJap
32,11,SG,WA,PAD,EMB,48.549,-122.514,SPEC,PNW-For,7,7.1,Csb,44,CHN,0-10,0.007,LOI,20-30,0.007,CHN&LOI,19.49,32.97,NA,NA,NA,NA,NA,NA,NA,-1.343,0.114,NA,NA
33,11,SG,WA,PAD,EMB,48.549,-122.523,SPEC,PNW-For,7,7.1,Csb,42,CHN,0-10,0.006,LOI,20-30,0.005,CHN&LOI,17.4,27.07,NA,NA,NA,NA,NA,NA,NA,-1.554,-0.026,NA,NA
34,11,SG,WA,PAD,EMB,48.549,-122.529,SPEC,PNW-For,7,7.1,Csb,36,CHN,0-10,0.005,LOI,20-30,0.005,CHN&LOI,15.03,24.13,NA,NA,NA,NA,NA,NA,NA,-1.655,-0.092,NA,ZosMar
35,11,SG,WA,PAD,EMB,48.55,-122.536,SPEC,PNW-For,7,7.1,Csb,38,CHN,0-10,0.005,LOI,20-30,0.005,CHN&LOI,13.22,21.18,NA,NA,NA,NA,NA,NA,NA,-1.877,-0.239,NA,ZosMar
36,11,SG,WA,PAD,EMB,48.55,-122.544,SPEC,PNW-For,7,7.1,Csb,42,CHN,0-10,0.005,LOI,20-30,0.005,CHN&LOI,12.37,21.32,NA,NA,NA,NA,NA,NA,NA,-2.321,-0.532,NA,ZosMar
37,17,EM,WA,STI,RD,48.227,-122.384,SPEC,PNW-For,7,7.1,Csb,84,LOI,0-10,0.021,LOI,20-30,0.019,CHN&LOI,63.84,127.74,187.96,NA,NA,NA,NA,92,Avg 4-28,0.931,NA,0.931,Br-mix
38,17,EM,WA,STI,RD,48.227,-122.383,SPEC,PNW-For,7,7.1,Csb,73,LOI,0-10,0.024,LOI,20-30,0.018,LOI,60.7,96.33,NA,NA,NA,NA,NA,87.1,Avg 4-28,0.981,NA,0.981,Br-mix
39,17,EM,WA,STI,RD,48.226,-122.383,SPEC,PNW-For,7,7.1,Csb,86,LOI,0-10,0.016,LOI,20-30,0.021,CHN&LOI,49.74,80.45,137.66,NA,NA,NA,NA,83.7,Avg 4-28,0.331,NA,0.331,Br-grm
40,17,EM,WA,STI,RD,48.226,-122.383,SPEC,PNW-For,7,7.1,Csb,88,LOI,0-10,0.015,LOI,20-30,0.02,LOI,58.3,93.59,174.63,NA,NA,NA,NA,68.1,Avg 4-28,0.353,NA,0.353,Br-grm
41,17,FL,WA,STI,RD,48.202,-122.386,SPEC,PNW-For,7,7.1,Csb,80,LOI,0-10,0.008,LOI,20-30,0.007,LOI,26.78,42.87,81.44,NA,NA,NA,NA,25,Avg 4-28,0.103,1.073,NA,FL
42,17,FL,WA,STI,RD,48.202,-122.386,SPEC,PNW-For,7,7.1,Csb,80,LOI,0-10,0.01,LOI,20-30,0.011,CHN&LOI,32.08,48.99,87.67,NA,NA,NA,NA,38.7,Avg 4-28,0.103,1.073,NA,FL
43,17,EM,WA,STI,RD,48.192,-122.363,SPEC,PNW-For,7,7.1,Csb,76,LOI,0-10,0.02,LOI,20-30,0.017,LOI,52.66,87.41,270.06,NA,NA,NA,NA,90.9,Avg 4-26,0.745,NA,0.745,Br-mix
44,17,EM,WA,STI,RD,48.191,-122.363,SPEC,PNW-For,7,7.1,Csb,84,LOI,0-10,0.023,LOI,20-30,0.016,CHN&LOI,55.77,87.45,150.25,NA,NA,NA,NA,75.8,Avg 4-28,0.738,NA,0.738,Br-grm
45,17,EM,WA,STI,RD,48.188,-122.363,SPEC,PNW-For,7,7.1,Csb,72,LOI,0-10,0.016,LOI,20-30,0.017,CHN&LOI,46.95,77.66,NA,NA,NA,NA,NA,47.1,Avg 2-28,0.467,NA,0.467,Br-grm
46,17,EM,WA,STI,RD,48.187,-122.363,SPEC,PNW-For,7,7.1,Csb,64,LOI,0-10,0.017,LOI,20-30,0.016,LOI,53.12,86.38,NA,NA,NA,NA,NA,38,Avg 4-28,0.453,NA,0.453,Br-grm
47,17,EM,WA,STI,RD,48.201,-122.372,SPEC,PNW-For,7,7.1,Csb,88,LOI,0-10,0.018,LOI,20-30,0.019,CHN&LOI,58.68,99.64,178.11,NA,NA,NA,NA,89.2,Avg 4-28,0.909,NA,0.909,Br-mix
