SampID,Study ID,Ecosystem,State,Estuary,EstType,Lat,Long,LatLongType,Lvl1EcoRegCode,Lvl1EcoReg,Lvl2EcoReg,KGzone,Cdepth,SfcCDMeth,SfcCDDepth,SfcCD,RhizCDMeth,RhizCDDepth,RhizCD,StkMeth,Stk30,Stk50,Stk100,PercGrav,PercSand,PercSilt,PercClay,PercFines,GrainType,z,zlow,zhigh,VegGrp
48,17,EM,WA,STI,RD,48.2,-122.371,SPEC,PNW-For,7,7.1,Csb,86,LOI,0-10,0.012,LOI,20-30,0.015,LOI,42.13,75.54,160.61,NA,NA,NA,NA,97,Avg 4-28,0.852,NA,0.852,Br-mix
49,17,EM,WA,STI,RD,48.201,-122.373,SPEC,PNW-For,7,7.1,Csb,84,LOI,0-10,0.015,LOI,20-30,0.015,LOI,45.33,76.98,137.24,NA,NA,NA,NA,96.5,Avg 4-28,0.617,NA,0.617,Br-grm
50,17,EM,WA,STI,RD,48.201,-122.373,SPEC,PNW-For,7,7.1,Csb,82,LOI,0-10,0.015,LOI,20-30,0.014,CHN&LOI,50.5,87.02,181.68,NA,NA,NA,NA,96.2,Avg 4-28,0.61,NA,0.61,Br-mix
51,17,EM,WA,STI,RD,48.217,-122.37,SPEC,PNW-For,7,7.1,Csb,78,LOI,0-10,0.015,LOI,20-30,0.015,CHN&LOI,48.18,73.5,134.02,NA,NA,NA,NA,98.3,Avg 4-28,0.895,NA,0.895,Br-grm
52,17,EM,WA,STI,RD,48.217,-122.37,SPEC,PNW-For,7,7.1,Csb,86,LOI,0-10,0.022,LOI,20-30,0.021,LOI,57.63,88.48,159.12,NA,NA,NA,NA,98.7,Avg 4-28,0.916,NA,0.916,Br-grm
53,17,EM,WA,STI,RD,48.216,-122.37,SPEC,PNW-For,7,7.1,Csb,84,LOI,0-10,0.012,LOI,20-30,0.014,LOI,42.78,69.23,152.87,NA,NA,NA,NA,97.9,Avg 4-28,0.581,NA,0.581,Br-mix
54,17,EM,WA,STI,RD,48.216,-122.37,SPEC,PNW-For,7,7.1,Csb,88,LOI,0-10,0.019,LOI,20-30,0.014,CHN&LOI,50.28,78.48,149.33,NA,NA,NA,NA,98.4,Avg 4-28,0.645,NA,0.645,Br-grm
63,8,EM,WA,SNO,RD,48.0444,-122.2048,GEN,PNW-For,7,7.1,Csb,70,CHN,0-8,0.025,CHN,20-30,0.026,CHN,82.14,129.57,NA,NA,NA,NA,NA,NA,NA,0.379,NA,0.379,Br-grm
64,8,EM,WA,SNO,RD,48.0444,-122.2048,GEN,PNW-For,7,7.1,Csb,40,CHN,0-10,0.023,CHN,20-30,0.024,CHN,67.44,113.14,NA,NA,NA,NA,NA,NA,NA,0.379,NA,0.379,Br-grm
65,8,EM,WA,SNO,RD,48.0444,-122.2048,GEN,PNW-For,7,7.1,Csb,64,CHN,0-10,0.026,CHN,20-30,0.024,CHN,76.3,125.63,NA,NA,NA,NA,NA,NA,NA,0.379,NA,0.379,Br-grm
72,8,TS,WA,SNO,RD,48.0314,-122.1548,GEN,PNW-For,7,7.1,Csb,62,CHN,0-10,0.034,CHN,20-30,0.034,CHN,95.56,184.95,NA,NA,NA,NA,NA,NA,NA,0.883,NA,0.883,Hardwood
73,8,TS,WA,SNO,RD,48.0314,-122.1548,GEN,PNW-For,7,7.1,Csb,46,CHN,0-10,0.036,CHN,20-30,0.03,CHN,97.78,137.29,NA,NA,NA,NA,NA,NA,NA,0.883,NA,0.883,Hardwood
74,8,TS,WA,SNO,RD,48.0085,-122.1483,GEN,PNW-For,7,7.1,Csb,88,CHN,0-10,0.028,CHN,20-30,0.031,CHN,91.53,158.35,308.89,NA,NA,NA,NA,NA,NA,0.883,NA,0.883,PicSit
75,8,TS,WA,SNO,RD,48.0085,-122.1483,GEN,PNW-For,7,7.1,Csb,82,CHN,0-10,0.021,CHN,20-30,0.022,CHN,66.64,115.09,290.95,NA,NA,NA,NA,NA,NA,0.883,NA,0.883,PicSit
88,7,SG,WA,WIL,TDE,46.474,-124.028,GEN,PNW-For,7,7.1,Csb,25,LOI,0-10,0.012,LOI,20-25,0.01,LOI,33.08,NA,NA,NA,NA,NA,NA,NA,SiteAvgNotUsed,NA,NA,NA,ZosMar
89,7,SG,WA,WIL,TDE,46.474,-124.028,GEN,PNW-For,7,7.1,Csb,25,LOI,0-10,0.011,LOI,20-25,0.01,LOI,32.17,NA,NA,NA,NA,NA,NA,NA,SiteAvgNotUsed,NA,NA,NA,ZosMar
90,7,SG,WA,WIL,TDE,46.474,-124.028,GEN,PNW-For,7,7.1,Csb,20,LOI,0-10,0.011,LOI,20-25,0.012,LOI,34.52,NA,NA,NA,NA,NA,NA,NA,SiteAvgNotUsed,NA,NA,NA,ZosMar
91,1,SG,OR,COO,WDE,43.3456,-124.3188,SPEC,PNW-For,7,7.1,Csb,176,CHN,abt 5-10,0.005,CHN,abt 20-25,0.004,CHN,12.85,29.57,90.76,NA,NA,NA,NA,NA,NA,-1.255,-0.072,NA,ZosMar
92,1,SG,OR,COO,WDE,43.3457,-124.3187,SPEC,PNW-For,7,7.1,Csb,177,CHN,abt 5-10,0.008,CHN,abt 20-25,0.005,CHN,19.04,36.5,63.34,NA,NA,NA,NA,NA,NA,-1.35,-0.153,NA,ZosMar
93,1,SG,OR,COO,WDE,43.3458,-124.3185,SPEC,PNW-For,7,7.1,Csb,157,CHN,abt 5-10,0.014,CHN,abt 20-25,0.011,CHN,37.08,62.53,113.36,NA,NA,NA,NA,NA,NA,-1.483,-0.267,NA,ZosMar
94,1,SG,OR,COO,WDE,43.3459,-124.3183,SPEC,PNW-For,7,7.1,Csb,172,CHN,abt 5-10,0.009,CHN,abt 20-25,0.01,CHN,29.71,51.91,95.2,NA,NA,NA,NA,NA,NA,-1.512,-0.291,NA,ZosMar
95,1,SG,OR,COO,WDE,43.3458,-124.3182,SPEC,PNW-For,7,7.1,Csb,208,CHN,abt 5-10,0.008,CHN,abt 20-25,0.01,CHN,25.83,61.81,135.18,NA,NA,NA,NA,NA,NA,-1.453,-0.241,NA,ZosMar
96,1,SG,OR,COO,WDE,43.3454,-124.3189,SPEC,PNW-For,7,7.1,Csb,168,CHN,abt 5-10,0.007,CHN,abt 20-25,0.007,CHN,20.68,58.15,80.99,NA,NA,NA,NA,NA,NA,-1.607,-0.373,NA,ZosMar
97,1,SG,OR,YAQ,TDE,44.6253,-124.0207,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.014,CHN,abt 20-25,0.009,CHN,35.15,62.71,129.09,NA,NA,NA,NA,NA,NA,-1.177,0.001,NA,ZosMar
98,1,SG,OR,YAQ,TDE,44.6253,-124.0208,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.011,CHN,abt 20-25,0.011,CHN,33.95,55.71,102.25,NA,NA,NA,NA,NA,NA,-1.183,-0.004,NA,ZosMar
99,1,SG,OR,YAQ,TDE,44.6254,-124.021,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.012,CHN,abt 20-25,0.009,CHN,31.17,55.22,107.64,NA,NA,NA,NA,NA,NA,-1.151,0.024,NA,ZosMar
100,1,SG,OR,YAQ,TDE,44.6254,-124.0213,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.01,CHN,abt 20-25,0.01,CHN,30.19,48.62,102.92,NA,NA,NA,NA,NA,NA,-1.119,0.051,NA,ZosMar
101,1,SG,OR,YAQ,TDE,44.6255,-124.0215,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.012,CHN,abt 20-25,0.009,CHN,31.59,53.19,108.02,NA,NA,NA,NA,NA,NA,-1.15,0.025,NA,ZosMar
102,1,SG,OR,YAQ,TDE,44.6256,-124.0218,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.012,CHN,abt 20-25,0.01,CHN,33.1,56.93,113.94,NA,NA,NA,NA,NA,NA,-1.138,0.035,NA,ZosMar
103,1,SG,WA,PAD,EMB,48.5478,-122.5098,SPEC,PNW-For,7,7.1,Csb,133,CHN,abt 5-10,0.005,CHN,abt 20-25,0.006,CHN,17.37,29.12,75.73,NA,NA,NA,NA,NA,NA,-1.245,0.178,NA,ZosJap
104,1,SG,WA,PAD,EMB,48.5479,-122.51,SPEC,PNW-For,7,7.1,Csb,151,CHN,abt 5-10,0.005,CHN,abt 20-25,0.004,CHN,13.22,24.82,38.09,NA,NA,NA,NA,NA,NA,-1.258,0.17,NA,ZosJap
105,1,SG,WA,PAD,EMB,48.5479,-122.5102,SPEC,PNW-For,7,7.1,Csb,140,CHN,abt 5-10,0.005,CHN,abt 20-25,0.005,CHN,14.94,27.57,48.45,NA,NA,NA,NA,NA,NA,-1.29,0.148,NA,ZosJap
106,1,SG,WA,PAD,EMB,48.5479,-122.5105,SPEC,PNW-For,7,7.1,Csb,132,CHN,abt 5-10,0.008,CHN,abt 20-25,0.005,CHN,18.59,27.69,41.65,NA,NA,NA,NA,NA,NA,-1.276,0.158,NA,ZosJap
107,1,SG,WA,PAD,EMB,48.5479,-122.5108,SPEC,PNW-For,7,7.1,Csb,136,CHN,abt 5-10,0.004,CHN,abt 20-25,0.003,CHN,11.38,21.17,45.75,NA,NA,NA,NA,NA,NA,-1.29,0.148,NA,ZosJap
108,1,SG,WA,PAD,EMB,48.5479,-122.511,SPEC,PNW-For,7,7.1,Csb,125,CHN,abt 5-10,0.005,CHN,abt 20-25,0.004,CHN,14.18,25.93,40.6,NA,NA,NA,NA,NA,NA,-1.328,0.124,NA,ZosJap
109,1,EM,WA,SKA,RD,48.3318,-122.4177,SPEC,PNW-For,7,7.1,Csb,220,CHN,abt 5-10,0.018,CHN,abt 20-25,0.018,CHN,53.95,93.56,193.89,NA,NA,NA,NA,NA,NA,0.43,NA,0.43,Br-grm
110,1,EM,WA,SKA,RD,48.3319,-122.4176,SPEC,PNW-For,7,7.1,Csb,212,CHN,abt 5-10,0.021,CHN,abt 20-25,0.021,CHN,62.74,110.86,200.62,NA,NA,NA,NA,NA,NA,0.661,NA,0.661,Br-grm
111,1,EM,WA,SKA,RD,48.3321,-122.4174,SPEC,PNW-For,7,7.1,Csb,197,CHN,abt 5-10,0.022,CHN,abt 20-25,0.016,CHN,57.56,94.22,195.17,NA,NA,NA,NA,NA,NA,0.707,NA,0.707,Br-grm
112,1,EM,WA,SKA,RD,48.3323,-122.4173,SPEC,PNW-For,7,7.1,Csb,230,CHN,abt 5-10,0.026,CHN,abt 20-25,0.024,CHN,75.13,121.34,246.06,NA,NA,NA,NA,NA,NA,0.736,NA,0.736,Br-grm
113,1,EM,WA,SKA,RD,48.3324,-122.4172,SPEC,PNW-For,7,7.1,Csb,258,CHN,abt 5-10,0.031,CHN,abt 20-25,0.022,CHN,79.39,134.88,240.63,NA,NA,NA,NA,NA,NA,0.781,NA,0.781,Br-grm
114,1,EM,WA,SKA,RD,48.3326,-122.417,SPEC,PNW-For,7,7.1,Csb,248,CHN,abt 5-10,0.029,CHN,abt 20-25,0.025,CHN,81.08,129.23,229.65,NA,NA,NA,NA,NA,NA,0.884,NA,0.884,Br-grm
115,1,EM,OR,COO,WDE,43.3196,-124.3313,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.03,CHN,abt 20-25,0.044,CHN,111.03,195.03,396.47,NA,NA,NA,NA,NA,NA,1.117,NA,1.117,NA
116,1,EM,OR,COO,WDE,43.3195,-124.3315,SPEC,PNW-For,7,7.1,Csb,276,CHN,abt 5-10,0.035,CHN,abt 20-25,0.037,CHN,107.85,171.19,363.41,NA,NA,NA,NA,NA,NA,0.946,NA,0.946,Br-grm
117,1,EM,OR,COO,WDE,43.3194,-124.3317,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.03,CHN,abt 20-25,0.028,CHN,87.16,146.44,274.67,NA,NA,NA,NA,NA,NA,0.847,NA,0.847,Br-grm
118,1,EM,OR,COO,WDE,43.3194,-124.332,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.028,CHN,abt 20-25,0.022,CHN,75.51,142.43,270.83,NA,NA,NA,NA,NA,NA,0.973,NA,0.973,Br-grm
119,1,EM,OR,COO,WDE,43.3193,-124.3322,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.044,CHN,abt 20-25,0.031,CHN,112.43,169.73,318.19,NA,NA,NA,NA,NA,NA,0.936,NA,0.936,Br-grm
120,1,EM,OR,COO,WDE,43.3192,-124.3324,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.045,CHN,abt 20-25,0.036,CHN,121.25,181.3,329.08,NA,NA,NA,NA,NA,NA,0.871,NA,0.871,Br-grm
121,1,EM,OR,COO,WDE,43.3682,-124.185,SPEC,PNW-For,7,7.1,Csb,256,CHN,abt 5-10,0.026,CHN,abt 20-25,0.029,CHN,82.34,159.11,365.37,NA,NA,NA,NA,NA,NA,0.907,NA,0.907,Br-grm
122,1,EM,OR,COO,WDE,43.3684,-124.185,SPEC,PNW-For,7,7.1,Csb,244,CHN,abt 5-10,0.024,CHN,abt 20-25,0.024,CHN,72.05,150.3,312.85,NA,NA,NA,NA,NA,NA,0.913,NA,0.913,Br-grm
123,1,EM,OR,COO,WDE,43.3686,-124.1849,SPEC,PNW-For,7,7.1,Csb,233,CHN,abt 5-10,0.029,CHN,abt 20-25,0.041,CHN,105.98,181.51,393.32,NA,NA,NA,NA,NA,NA,0.905,NA,0.905,Br-grm
124,1,EM,OR,COO,WDE,43.3687,-124.1849,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.024,CHN,abt 20-25,0.03,CHN,81.49,158.52,376.19,NA,NA,NA,NA,NA,NA,0.92,NA,0.92,Br-grm
125,1,EM,OR,COO,WDE,43.3689,-124.1849,SPEC,PNW-For,7,7.1,Csb,288,CHN,abt 5-10,0.024,CHN,abt 20-25,0.03,CHN,81.03,164.37,248.29,NA,NA,NA,NA,NA,NA,0.891,NA,0.891,Br-grm
126,1,EM,OR,COO,WDE,43.3691,-124.1849,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.025,CHN,abt 20-25,0.027,CHN,77.2,128.99,261.84,NA,NA,NA,NA,NA,NA,0.914,NA,0.914,Br-grm
127,1,EM,WA,SKA,RD,48.3217,-122.3952,SPEC,PNW-For,7,7.1,Csb,273,CHN,abt 5-10,0.025,CHN,abt 20-25,0.106,CHN,197.05,245.39,350.18,NA,NA,NA,NA,NA,NA,0.665,NA,0.665,Br-grm
128,1,EM,WA,SKA,RD,48.3217,-122.3949,SPEC,PNW-For,7,7.1,Csb,300,CHN,abt 5-10,0.023,CHN,abt 20-25,0.025,CHN,73.14,127.75,231.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Br-grm
129,1,EM,WA,SKA,RD,48.3218,-122.3947,SPEC,PNW-For,7,7.1,Csb,282,CHN,abt 5-10,0.023,CHN,abt 20-25,0.018,CHN,61.23,93.72,207.77,NA,NA,NA,NA,NA,NA,0.786,NA,0.786,Fr-grm
130,1,EM,WA,SKA,RD,48.3218,-122.3944,SPEC,PNW-For,7,7.1,Csb,276,CHN,abt 5-10,0.022,CHN,abt 20-25,0.022,CHN,64.79,108.47,234.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fr-grm
131,1,EM,WA,SKA,RD,48.3219,-122.3942,SPEC,PNW-For,7,7.1,Csb,287,CHN,abt 5-10,0.027,CHN,abt 20-25,0.021,CHN,72.34,123.96,213.77,NA,NA,NA,NA,NA,NA,0.696,NA,0.696,Fr-grm
132,1,EM,WA,SKA,RD,48.3219,-122.3939,SPEC,PNW-For,7,7.1,Csb,283,CHN,abt 5-10,0.027,CHN,abt 20-25,0.021,CHN,73.29,126.03,225.28,NA,NA,NA,NA,NA,NA,0.673,NA,0.673,Fr-grm
133,1,EM,WA,SKA,RD,48.3526,-122.4633,SPEC,PNW-For,7,7.1,Csb,150,CHN,abt 5-10,0.015,CHN,abt 20-25,0.014,CHN,43.59,62.39,85.26,NA,NA,NA,NA,NA,NA,0.354,NA,0.354,Br-grm
